,date,basis_factor_shift,profit_factor_shift,consumption_factor_shift,y
314,2015-08-05,498.0,1866.0,893.8927,0
315,2015-08-06,601.0,1917.0,836.8948,1
316,2015-08-07,764.0,1940.0,214.4455,1
317,2015-08-10,741.0,2132.0,217.9476,1
318,2015-08-11,781.0,2219.0,560.941,1
319,2015-08-12,712.0,2205.0,1406.8381,1
320,2015-08-13,692.0,2172.0,1672.4121,1
321,2015-08-14,460.0,1855.0,858.2226,0
322,2015-08-17,518.0,1699.0,1589.3934,0
323,2015-08-18,441.0,1659.0,1175.4494,0
324,2015-08-19,493.0,1602.0,2067.1217,0
325,2015-08-20,352.0,1577.0,1526.4402,0
326,2015-08-21,438.0,1578.0,1619.33,0
327,2015-08-24,558.0,1501.0,1282.6513,1
328,2015-08-25,618.0,1496.0,1241.1178,1
329,2015-08-26,672.0,1916.0,737.3136,1
330,2015-08-27,726.0,2038.0,577.4469,0
331,2015-08-28,631.0,2185.0,337.5589,0
332,2016-05-03,670.0,2022.0,2074.7655,0
333,2016-05-04,-380.0,476.0,30136.88,0
334,2016-05-05,-139.0,687.0,30266.35,1
335,2016-05-06,-153.0,749.0,29924.3581,0
336,2016-05-09,115.0,948.0,30023.0846,0
337,2016-05-10,311.0,943.0,29899.1328,1
338,2016-05-11,238.0,1002.0,29842.261,1
339,2016-05-12,152.0,1060.0,27908.589,1
340,2016-05-13,-7.0,1144.0,32265.7474,1
341,2016-05-16,223.0,1144.0,29834.4987,1
342,2016-05-17,191.0,1147.0,30226.5606,1
343,2016-05-18,71.0,1075.0,30024.7855,1
344,2016-05-19,-31.0,880.0,25003.1396,1
345,2016-05-20,-219.0,915.0,25550.5505,1
346,2016-05-23,-215.0,1062.0,27778.6243,1
347,2016-05-24,146.0,954.0,30050.3289,1
348,2016-05-25,141.0,990.0,29867.3466,1
349,2016-05-26,81.0,752.0,24703.6236,0
350,2016-05-27,-468.0,758.0,19740.6521,0
351,2016-05-31,-523.0,524.0,19831.8322,0
352,2016-06-01,-227.0,560.0,29446.4157,1
353,2016-06-02,40.0,478.0,20165.165,1
354,2016-06-03,26.0,594.0,23838.158,1
355,2016-06-06,148.0,637.0,19088.441,1
356,2016-06-07,-56.0,441.0,28847.818,1
357,2016-06-08,-373.0,208.0,21789.537,1
358,2016-06-13,-263.0,155.0,19877.8586,1
359,2016-06-14,-369.0,322.0,25805.03,1
360,2016-06-15,-177.0,473.0,18131.9,1
361,2016-06-16,-111.0,499.0,17991.147,1
362,2016-06-17,-331.0,532.0,20715.217,1
363,2016-06-20,-813.0,317.0,20134.16,1
364,2016-06-21,-769.0,171.0,29245.03,1
365,2016-06-22,-457.0,183.0,23214.94,1
366,2016-06-23,-628.0,383.0,17519.76,1
367,2016-06-24,-798.0,285.0,16671.04,1
368,2016-06-27,-713.0,120.0,18982.16,1
369,2016-06-28,-981.0,287.0,29986.722,1
