,Symbol,SymbolDate,UpdateDate,DelayDate,SymbolVal,Tag,ValStr
0,轻纺城棉布日成交量|DZ,2014-06-20,2021-11-23,,35.0,,
330,轻纺城棉布日成交量|DZ,2015-05-29,2021-11-23,,58.0,,
331,轻纺城棉布日成交量|DZ,2015-05-30,2021-11-23,,75.0,,
332,轻纺城棉布日成交量|DZ,2015-05-31,2021-11-23,,40.0,,
333,轻纺城棉布日成交量|DZ,2015-06-01,2021-11-23,,26.0,,
334,轻纺城棉布日成交量|DZ,2015-06-02,2021-11-23,,31.0,,
335,轻纺城棉布日成交量|DZ,2015-06-03,2021-11-23,,36.0,,
336,轻纺城棉布日成交量|DZ,2015-06-04,2021-11-23,,41.0,,
337,轻纺城棉布日成交量|DZ,2015-06-05,2021-11-23,,52.0,,
338,轻纺城棉布日成交量|DZ,2015-06-06,2021-11-23,,64.0,,
339,轻纺城棉布日成交量|DZ,2015-06-07,2021-11-23,,37.0,,
